id,sel_interval,period,step,vol_btc,vol_usd,bal_btc,bal_usd,old_ord,max_usage,margin,per,current_price,start_sum,total_sum,bal_margin,duration
2015_01*w*step7oldord1margin0.05per30,2015_01*w*,1440,7,0.03894,12.50,0.77882,250.00,1,70,0.050,30,264.00,455.61,449.46,-1.37,0:00:15.094819
2015_02*w*step3oldord5margin0.05per30,2015_02*w*,1440,3,0.04727,12.50,0.94543,250.00,5,70,0.050,30,266.39,501.85,517.65,3.05,0:00:37.382829
2015_03*w*step7oldord5margin0.015per30,2015_03*w*,1440,7,0.04697,12.50,0.93932,250.00,5,70,0.015,30,211.85,448.99,451.94,0.65,0:00:42.344232
2015_04*w*step7oldord1margin0.05per30,2015_04*w*,1440,7,0.05900,12.50,1.18008,250.00,1,70,0.050,30,255.31,551.29,549.40,-0.34,0:00:38.046285
2015_05*w*step7oldord5margin0.025per30,2015_05*w*,1440,7,0.04897,12.50,0.97941,250.00,5,70,0.025,30,226.93,472.26,472.41,0.03,0:00:28.992296
2015_06*w*step1oldord1margin0.005per30,2015_06*w*,1440,1,0.05504,12.50,1.10084,250.00,1,70,0.005,30,223.88,496.46,525.18,5.47,0:00:35.839559
2015_07*w*step3oldord1margin0.005per30,2015_07*w*,1440,3,0.05582,12.50,1.11647,250.00,1,70,0.005,30,235.63,513.07,526.83,2.61,0:00:39.382603
2015_08*w*step1oldord5margin0.05per30,2015_08*w*,1440,1,0.05305,12.50,1.06108,250.00,5,70,0.050,30,236.50,500.95,509.94,1.76,0:00:40.431540
2015_09*w*step1oldord1margin0.005per30,2015_09*w*,1440,1,0.05285,12.50,1.05708,250.00,1,70,0.005,30,258.34,523.09,530.89,1.47,0:00:35.964588
2015_10*w*step1oldord1margin0.01per30,2015_10*w*,1440,1,0.04839,12.50,0.96772,250.00,1,70,0.010,30,275.00,516.12,528.13,2.27,0:00:37.050464
2015_11*w*step3oldord1margin0.05per30,2015_11*w*,1440,3,0.04545,12.50,0.90909,250.00,1,70,0.050,30,286.75,510.68,525.05,2.74,0:00:31.924416
2015_12*w*step3oldord1margin0.05per30,2015_12*w*,1440,3,0.04359,12.50,0.87184,250.00,1,70,0.050,30,267.74,483.43,484.54,0.23,0:00:44.670520
2015_13*w*step1oldord1margin0.005per30,2015_13*w*,1440,1,0.04663,12.50,0.93263,250.00,1,70,0.005,30,242.00,475.70,475.19,-0.11,0:01:11.295224
2015_14*w*step3oldord1margin0.025per30,2015_14*w*,1440,3,0.05165,12.50,1.03306,250.00,1,70,0.025,30,260.54,519.15,521.78,0.50,0:01:04.449400
2015_15*w*step5oldord1margin0.05per30,2015_15*w*,1440,5,0.04798,12.50,0.95955,250.00,1,70,0.050,30,236.50,476.93,477.39,0.10,0:00:27.637775
2015_16*w*step3oldord5margin0.015per30,2015_16*w*,1440,3,0.05287,12.50,1.05744,250.00,5,70,0.015,30,222.54,485.32,490.03,0.96,0:00:51.701555
2015_17*w*step1oldord5margin0.05per30,2015_17*w*,1440,1,0.05618,12.50,1.12355,250.00,5,70,0.050,30,219.52,496.64,508.78,2.39,0:00:39.865941
2015_18*w*step7oldord1margin0.05per30,2015_18*w*,1440,7,0.05694,12.50,1.13885,250.00,1,70,0.050,30,239.00,522.19,522.00,-0.04,0:00:37.592612
2015_19*w*step3oldord5margin0.025per30,2015_19*w*,1440,3,0.05214,12.50,1.04284,250.00,5,70,0.025,30,239.13,499.37,510.90,2.26,0:00:35.025590
2015_20*w*step1oldord5margin0.01per30,2015_20*w*,1440,1,0.05227,12.50,1.04546,250.00,5,70,0.010,30,235.97,496.70,503.21,1.29,0:00:39.483733
2015_21*w*step1oldord1margin0.015per30,2015_21*w*,1440,1,0.05306,12.50,1.06114,250.00,1,70,0.015,30,239.22,503.85,508.99,1.01,0:00:39.175186
2015_22*w*step1oldord5margin0.05per30,2015_22*w*,1440,1,0.05225,12.50,1.04506,250.00,5,70,0.050,30,228.91,489.22,489.23,0.00,0:00:40.127961
2015_23*w*step1oldord1margin0.005per30,2015_23*w*,1440,1,0.05461,12.50,1.09213,250.00,1,70,0.005,30,222.70,493.22,495.64,0.49,0:01:01.382835
2015_24*w*step7oldord1margin0.005per30,2015_24*w*,1440,7,0.05612,12.50,1.12246,250.00,1,70,0.005,30,232.09,510.51,511.00,0.10,0:00:51.258408
2015_25*w*step1oldord1margin0.05per30,2015_25*w*,1440,1,0.05386,12.50,1.07719,250.00,1,70,0.050,30,243.64,512.45,518.20,1.11,0:00:40.098550
2015_26*w*step1oldord5margin0.015per30,2015_26*w*,1440,1,0.05132,12.50,1.02634,250.00,5,70,0.015,30,248.62,505.17,511.50,1.24,0:01:13.657602
2015_27*w*step7oldord5margin0.025per30,2015_27*w*,1440,7,0.05028,12.50,1.00555,250.00,5,70,0.025,30,271.50,523.01,532.47,1.78,0:01:04.531286
2015_28*w*step7oldord1margin0.05per30,2015_28*w*,1440,7,0.04606,12.50,0.92118,250.00,1,70,0.050,30,310.55,536.07,532.20,-0.73,0:00:25.639944
2015_29*w*step5oldord1margin0.025per30,2015_29*w*,1440,5,0.04025,12.50,0.80502,250.00,1,70,0.025,30,275.47,471.76,472.22,0.10,0:00:27.401758
2015_30*w*step7oldord1margin0.015per30,2015_30*w*,1440,7,0.04538,12.50,0.90754,250.00,1,70,0.015,30,293.19,516.08,516.59,0.10,0:00:25.445455
2015_31*w*step1oldord1margin0.025per30,2015_31*w*,1440,1,0.04266,12.50,0.85320,250.00,1,70,0.025,30,282.32,490.88,494.79,0.79,0:00:57.716999
2015_32*w*step1oldord1margin0.05per30,2015_32*w*,1440,1,0.04428,12.50,0.88552,250.00,1,70,0.050,30,265.05,484.71,485.06,0.07,0:00:39.778396
2015_33*w*step7oldord1margin0.02per30,2015_33*w*,1440,7,0.04716,12.50,0.94322,250.00,1,70,0.020,30,256.11,491.57,503.30,2.33,0:00:25.624208
2015_34*w*step7oldord1margin0.05per30,2015_34*w*,1440,7,0.04881,12.50,0.97614,250.00,1,70,0.050,30,228.89,473.43,471.31,-0.45,0:00:37.030122
2015_35*w*step1oldord1margin0.025per30,2015_35*w*,1440,1,0.05461,12.50,1.09223,250.00,1,70,0.025,30,229.00,500.12,520.31,3.88,0:00:38.914845
2015_36*w*step1oldord5margin0.05per30,2015_36*w*,1440,1,0.05453,12.50,1.09051,250.00,5,70,0.050,30,240.28,512.03,513.11,0.21,0:00:40.084120
2015_37*w*step5oldord1margin0.02per30,2015_37*w*,1440,5,0.05202,12.50,1.04045,250.00,1,70,0.020,30,229.66,488.95,489.30,0.07,0:00:56.755377
2015_38*w*step1oldord1margin0.015per30,2015_38*w*,1440,1,0.05443,12.50,1.08857,250.00,1,70,0.015,30,230.16,500.55,506.45,1.16,0:00:57.310758
2015_39*w*step1oldord1margin0.005per30,2015_39*w*,1440,1,0.05431,12.50,1.08620,250.00,1,70,0.005,30,232.41,502.44,509.58,1.40,0:00:36.415506
2015_40*w*step1oldord1margin0.005per30,2015_40*w*,1440,1,0.05378,12.50,1.07569,250.00,1,70,0.005,30,238.60,506.66,510.75,0.80,0:00:38.660012
2015_41*w*step7oldord1margin0.05per30,2015_41*w*,1440,7,0.05239,12.50,1.04778,250.00,1,70,0.050,30,248.05,509.90,509.90,0.00,0:00:54.232503
2015_42*w*step1oldord1margin0.05per30,2015_42*w*,1440,1,0.05039,12.50,1.00786,250.00,1,70,0.050,30,261.05,513.10,515.54,0.47,0:00:57.060768
2015_43*w*step3oldord1margin0.05per30,2015_43*w*,1440,3,0.04788,12.50,0.95767,250.00,1,70,0.050,30,283.96,521.94,523.21,0.24,0:00:31.871480
2015_44*w*step1oldord1margin0.05per30,2015_44*w*,1440,1,0.04402,12.50,0.88031,250.00,1,70,0.050,30,325.78,536.79,545.70,1.63,0:00:38.652848
2015_45*w*step3oldord5margin0.05per30,2015_45*w*,1440,3,0.03838,12.50,0.76758,250.00,5,70,0.050,30,372.65,536.04,550.32,2.59,0:00:35.846852
2015_46*w*step5oldord1margin0.01per30,2015_46*w*,1440,5,0.03352,12.50,0.67046,250.00,1,70,0.010,30,319.28,464.06,468.77,1.00,0:00:25.855185
2015_47*w*step1oldord1margin0.05per30,2015_47*w*,1440,1,0.03916,12.50,0.78329,250.00,1,70,0.050,30,324.20,503.94,519.33,2.96,0:00:56.185794
2015_48*w*step5oldord1margin0.005per30,2015_48*w*,1440,5,0.03856,12.50,0.77113,250.00,1,70,0.005,30,371.48,536.46,540.78,0.80,0:00:25.967950
2015_49*w*step1oldord1margin0.05per30,2015_49*w*,1440,1,0.03368,12.50,0.67370,250.00,1,70,0.050,30,388.24,511.56,535.00,4.38,0:00:39.123393
2015_50*w*step3oldord1margin0.05per30,2015_50*w*,1440,3,0.03223,12.50,0.64458,250.00,1,70,0.050,30,433.07,529.15,544.90,2.89,0:00:43.061193
2015_51*w*step1oldord5margin0.05per30,2015_51*w*,1440,1,0.02887,12.50,0.57731,250.00,5,70,0.050,30,442.54,505.48,512.19,1.31,0:00:40.075849
2015_52*w*step1oldord5margin0.015per30,2015_52*w*,1440,1,0.02825,12.50,0.56492,250.00,5,70,0.015,30,421.76,488.26,495.15,1.39,0:00:39.040546
2015_53*w*step1oldord5margin0.015per30,2015_53*w*,1440,1,0.02961,12.50,0.59216,250.00,5,70,0.015,30,430.89,505.16,514.43,1.80,0:00:21.515238
2016_01*w*step3oldord1margin0.025per30,2016_01*w*,1440,3,0.02899,12.50,0.57986,250.00,1,70,0.025,30,448.79,510.24,522.98,2.44,0:00:53.865215
2016_02*w*step7oldord1margin0.05per30,2016_02*w*,1440,7,0.02787,12.50,0.55736,250.00,1,70,0.050,30,380.16,461.89,461.08,-0.18,0:00:25.521700
2016_03*w*step1oldord1margin0.015per30,2016_03*w*,1440,1,0.03288,12.50,0.65762,250.00,1,70,0.015,30,402.16,514.47,537.59,4.30,0:00:37.088876
2016_04*w*step3oldord1margin0.05per30,2016_04*w*,1440,3,0.03108,12.50,0.62164,250.00,1,70,0.050,30,368.49,479.07,479.52,0.09,0:00:31.654509
2016_05*w*step1oldord5margin0.015per30,2016_05*w*,1440,1,0.03389,12.50,0.67783,250.00,5,70,0.015,30,375.00,504.19,510.69,1.27,0:00:56.826399
2016_06*w*step1oldord1margin0.05per30,2016_06*w*,1440,1,0.03333,12.50,0.66667,250.00,1,70,0.050,30,405.00,520.00,520.01,0.00,0:00:39.942814
2016_07*w*step1oldord1margin0.05per30,2016_07*w*,1440,1,0.03082,12.50,0.61648,250.00,1,70,0.050,30,438.50,520.33,521.40,0.21,0:00:39.915242
