period,volBTC,volUSD,balBTC,balUSD,oldOrd,maxUsage,margin,totalSum
720,0.0005,20.0,0.02,550.0,0,60,0.005,1147.84
720,0.0005,20.0,0.02,550.0,0,60,0.01,1147.13
720,0.0005,20.0,0.02,550.0,0,60,0.015,1142.66
720,0.0005,20.0,0.02,550.0,0,60,0.02,1144.54
720,0.0005,20.0,0.02,550.0,0,60,0.025,1145.58
720,0.0005,20.0,0.02,550.0,0,70,0.005,1147.84
720,0.0005,20.0,0.02,550.0,0,70,0.01,1147.13
720,0.0005,20.0,0.02,550.0,0,70,0.015,1142.66
720,0.0005,20.0,0.02,550.0,0,70,0.02,1144.54
720,0.0005,20.0,0.02,550.0,0,70,0.025,1145.58
720,0.0005,20.0,0.02,550.0,0,80,0.005,1147.84
720,0.0005,20.0,0.02,550.0,0,80,0.01,1147.13
720,0.0005,20.0,0.02,550.0,0,80,0.015,1142.66
720,0.0005,20.0,0.02,550.0,0,80,0.02,1144.54
720,0.0005,20.0,0.02,550.0,0,80,0.025,1145.58
720,0.0005,20.0,0.02,550.0,3,60,0.005,1147.84
720,0.0005,20.0,0.02,550.0,3,60,0.01,1147.13
720,0.0005,20.0,0.02,550.0,3,60,0.015,1142.66
720,0.0005,20.0,0.02,550.0,3,60,0.02,1144.54
720,0.0005,20.0,0.02,550.0,3,60,0.025,1145.58
720,0.0005,20.0,0.02,550.0,3,70,0.005,1147.84
720,0.0005,20.0,0.02,550.0,3,70,0.01,1147.13
720,0.0005,20.0,0.02,550.0,3,70,0.015,1142.66
720,0.0005,20.0,0.02,550.0,3,70,0.02,1144.54
720,0.0005,20.0,0.02,550.0,3,70,0.025,1145.58
720,0.0005,20.0,0.02,550.0,3,80,0.005,1147.84
720,0.0005,20.0,0.02,550.0,3,80,0.01,1147.13
720,0.0005,20.0,0.02,550.0,3,80,0.015,1142.66
720,0.0005,20.0,0.02,550.0,3,80,0.02,1144.54
720,0.0005,20.0,0.02,550.0,3,80,0.025,1145.58
720,0.0005,20.0,0.02,550.0,6,60,0.005,1147.84
720,0.0005,20.0,0.02,550.0,6,60,0.01,1147.13
720,0.0005,20.0,0.02,550.0,6,60,0.015,1142.66
720,0.0005,20.0,0.02,550.0,6,60,0.02,1144.54
720,0.0005,20.0,0.02,550.0,6,60,0.025,1145.58
720,0.0005,20.0,0.02,550.0,6,70,0.005,1147.84
720,0.0005,20.0,0.02,550.0,6,70,0.01,1147.13
720,0.0005,20.0,0.02,550.0,6,70,0.015,1142.66
720,0.0005,20.0,0.02,550.0,6,70,0.02,1144.54
720,0.0005,20.0,0.02,550.0,6,70,0.025,1145.58
720,0.0005,20.0,0.02,550.0,6,80,0.005,1147.84
720,0.0005,20.0,0.02,550.0,6,80,0.01,1147.13
720,0.0005,20.0,0.02,550.0,6,80,0.015,1142.66
720,0.0005,20.0,0.02,550.0,6,80,0.02,1144.54
720,0.0005,20.0,0.02,550.0,6,80,0.025,1145.58
720,0.0005,20.0,0.02,550.0,9,60,0.005,1147.84
720,0.0005,20.0,0.02,550.0,9,60,0.01,1147.13
720,0.0005,20.0,0.02,550.0,9,60,0.015,1142.66
720,0.0005,20.0,0.02,550.0,9,60,0.02,1144.54
720,0.0005,20.0,0.02,550.0,9,60,0.025,1145.58
720,0.0005,20.0,0.02,550.0,9,60,0.025,1145.58
720,0.0005,20.0,0.02,550.0,9,70,0.005,1147.84
720,0.0005,20.0,0.02,550.0,9,70,0.01,1147.13
720,0.0005,20.0,0.02,550.0,9,70,0.015,1142.66
720,0.0005,20.0,0.02,550.0,9,70,0.02,1144.54
720,0.0005,20.0,0.02,550.0,9,70,0.025,1145.58
720,0.0005,20.0,0.02,550.0,9,70,0.025,1145.58
720,0.0005,20.0,0.02,550.0,9,80,0.005,1147.84
720,0.0005,20.0,0.02,550.0,9,80,0.01,1147.13
720,0.0005,20.0,0.02,550.0,9,80,0.015,1142.66
720,0.0005,20.0,0.02,550.0,9,80,0.02,1144.54
720,0.0005,20.0,0.02,550.0,9,80,0.025,1145.58
720,0.0005,20.0,0.02,550.0,12,60,0.005,1147.84
720,0.0005,20.0,0.02,550.0,12,60,0.01,1147.13
720,0.0005,20.0,0.02,550.0,12,60,0.015,1142.66
720,0.0005,20.0,0.02,550.0,12,60,0.02,1144.54
720,0.0005,20.0,0.02,550.0,12,60,0.025,1145.58
720,0.0005,20.0,0.02,550.0,12,70,0.005,1147.84
720,0.0005,20.0,0.02,550.0,12,70,0.01,1147.13
720,0.0005,20.0,0.02,550.0,12,70,0.015,1142.66
720,0.0005,20.0,0.02,550.0,12,70,0.02,1144.54
720,0.0005,20.0,0.02,550.0,12,70,0.025,1145.58
720,0.0005,20.0,0.02,550.0,12,80,0.005,1147.84
720,0.0005,20.0,0.02,550.0,12,80,0.01,1147.13
720,0.0005,20.0,0.02,550.0,12,80,0.015,1142.66
720,0.0005,20.0,0.02,550.0,12,80,0.02,1144.54
720,0.0005,20.0,0.02,550.0,12,80,0.025,1145.58
720,0.0005,30.0,0.02,550.0,0,60,0.005,1156.87
720,0.0005,30.0,0.02,550.0,0,60,0.01,1156.45
720,0.0005,30.0,0.02,550.0,0,60,0.015,1149.37
720,0.0005,30.0,0.02,550.0,0,60,0.02,1152.41
720,0.0005,30.0,0.02,550.0,0,60,0.025,1153.45
720,0.0005,30.0,0.02,550.0,0,70,0.005,1156.87
720,0.0005,30.0,0.02,550.0,0,70,0.01,1156.45
720,0.0005,30.0,0.02,550.0,0,70,0.015,1149.37
720,0.0005,30.0,0.02,550.0,0,70,0.02,1152.41
720,0.0005,30.0,0.02,550.0,0,70,0.025,1153.45
720,0.0005,30.0,0.02,550.0,0,80,0.005,1156.87
720,0.0005,30.0,0.02,550.0,0,80,0.01,1156.45
720,0.0005,30.0,0.02,550.0,0,80,0.015,1149.37
720,0.0005,30.0,0.02,550.0,0,80,0.02,1152.41
720,0.0005,30.0,0.02,550.0,0,80,0.025,1153.45
720,0.0005,30.0,0.02,550.0,3,60,0.005,1156.87
720,0.0005,30.0,0.02,550.0,3,60,0.01,1156.45
720,0.0005,30.0,0.02,550.0,3,60,0.015,1149.37
720,0.0005,30.0,0.02,550.0,3,60,0.02,1152.41
720,0.0005,30.0,0.02,550.0,3,60,0.025,1153.45
720,0.0005,30.0,0.02,550.0,3,70,0.005,1156.87
720,0.0005,30.0,0.02,550.0,3,70,0.01,1156.45
720,0.0005,30.0,0.02,550.0,3,70,0.015,1149.37
720,0.0005,30.0,0.02,550.0,3,70,0.02,1152.41
720,0.0005,30.0,0.02,550.0,3,70,0.025,1153.45
720,0.0005,30.0,0.02,550.0,3,80,0.005,1156.87
720,0.0005,30.0,0.02,550.0,3,80,0.01,1156.45
720,0.0005,30.0,0.02,550.0,3,80,0.015,1149.37
720,0.0005,30.0,0.02,550.0,3,80,0.02,1152.41
720,0.0005,30.0,0.02,550.0,3,80,0.025,1153.45
720,0.0005,30.0,0.02,550.0,6,60,0.005,1156.87
720,0.0005,30.0,0.02,550.0,6,60,0.01,1156.45
720,0.0005,30.0,0.02,550.0,6,60,0.015,1149.37
720,0.0005,30.0,0.02,550.0,6,60,0.02,1152.41
720,0.0005,30.0,0.02,550.0,6,60,0.025,1153.45
720,0.0005,30.0,0.02,550.0,6,70,0.005,1156.87
720,0.0005,30.0,0.02,550.0,6,70,0.01,1156.45
720,0.0005,30.0,0.02,550.0,6,70,0.015,1149.37
720,0.0005,30.0,0.02,550.0,6,70,0.02,1152.41
720,0.0005,30.0,0.02,550.0,6,70,0.025,1153.45
